Date, Humidity (%), Temperature (°C), Light (lux), Soil Moisture, Humidity Purcentage (%)
January 14 2025 14:29:31, 0.570366, 6.506920, 1958.400024, 1604, 1.000000
January 14 2025 14:29:33, 0.569900, 6.524277, 1958.860718, 1584, 1.000000
January 14 2025 14:29:37, 0.568438, 6.511116, 1962.086426, 1601, 1.000000
January 14 2025 14:29:39, 0.567660, 6.494904, 1958.860718, 1597, 1.000000
January 14 2025 14:29:43, 0.566895, 6.490898, 1958.860718, 1595, 1.000000
January 14 2025 14:29:44, 0.566319, 6.496239, 1957.939209, 1597, 1.000000
January 14 2025 14:29:48, 0.565631, 6.495285, 1959.782349, 1618, 1.000000
January 14 2025 14:29:50, 0.565528, 6.482887, 1957.939209, 1619, 1.000000
January 14 2025 14:29:54, 0.563909, 6.472588, 1959.321533, 1644, 1.000000
January 14 2025 14:29:55, 0.563951, 6.501198, 1956.095947, 1617, 1.000000
January 14 2025 14:29:59, 0.562956, 6.481552, 1953.331177, 1613, 1.000000
January 14 2025 14:30:01, 0.562403, 6.488991, 1953.791992, 1601, 1.000000
January 14 2025 14:30:05, 0.561330, 6.501770, 1949.644775, 1615, 1.000000
January 14 2025 14:30:07, 0.561299, 6.491852, 1947.340820, 1635, 1.000000
January 14 2025 14:30:12, 0.560913, 6.466675, 1947.340820, 1675, 1.000000
January 14 2025 14:30:14, 0.560702, 6.486702, 1946.880005, 1621, 1.000000
January 14 2025 14:30:18, 0.561809, 6.470490, 1944.575928, 1584, 1.000000
January 14 2025 14:30:20, 0.561912, 6.488419, 1945.036743, 1623, 1.000000
January 14 2025 14:30:24, 0.562964, 6.483841, 1941.350342, 1638, 1.000000
January 14 2025 14:30:26, 0.562736, 6.506348, 1939.046387, 1621, 1.000000
January 14 2025 14:30:30, 0.564374, 6.484985, 1938.585571, 1621, 1.000000
January 14 2025 14:30:32, 0.567296, 6.484222, 1934.438354, 1623, 1.000000
January 14 2025 14:30:35, 0.569095, 6.477356, 1932.595215, 1535, 1.000000
January 14 2025 14:30:37, 0.570644, 6.469727, 1932.595215, 1621, 1.000000
January 14 2025 14:30:41, 0.571564, 6.479263, 1933.516724, 1612, 1.000000
January 14 2025 14:30:43, 0.571621, 6.480980, 1932.134399, 1663, 1.000000
January 14 2025 14:30:47, 0.573373, 6.474113, 1931.673584, 1615, 1.000000
January 14 2025 14:30:49, 0.573776, 6.468010, 1932.595215, 1600, 1.000000
January 14 2025 14:30:53, 0.575003, 6.481934, 1926.143921, 1610, 1.000000
January 14 2025 14:30:56, 0.575130, 6.470299, 1927.526367, 1616, 1.000000
January 14 2025 14:30:59, 0.576037, 6.459999, 1925.683228, 1643, 1.000000
January 14 2025 14:31:01, 0.576163, 6.478119, 1924.761597, 1616, 1.000000
January 14 2025 14:31:05, 0.574993, 6.475067, 1927.987183, 1635, 1.000000
January 14 2025 14:31:07, 0.575172, 6.492424, 1922.457520, 1581, 1.000000
January 14 2025 14:31:11, 0.574453, 6.483459, 1922.918335, 1584, 1.000000
January 14 2025 14:31:12, 0.574391, 6.469536, 1924.300781, 1613, 1.000000
January 14 2025 14:31:16, 0.575561, 6.457710, 1924.300781, 1616, 1.000000
January 14 2025 14:31:18, 0.575414, 6.466103, 1923.839966, 1638, 1.000000
January 14 2025 14:31:22, 0.577266, 6.477165, 1921.536011, 1596, 1.000000
January 14 2025 14:31:24, 0.577862, 6.451225, 1919.231934, 1600, 1.000000
January 14 2025 14:31:28, 0.579917, 6.474113, 1920.153564, 1616, 1.000000
January 14 2025 14:31:30, 0.581156, 6.469154, 1921.996826, 1627, 1.000000
January 14 2025 14:31:34, 0.583855, 6.466484, 1918.310425, 1600, 1.000000
January 14 2025 14:31:35, 0.584998, 6.452179, 1921.996826, 1588, 1.000000
January 14 2025 14:31:40, 0.585418, 6.452751, 1912.780762, 1590, 1.000000
January 14 2025 14:31:42, 0.585896, 6.475258, 1913.241577, 1582, 1.000000
January 14 2025 14:31:45, 0.586986, 6.443787, 1919.692749, 1594, 1.000000
January 14 2025 14:31:47, 0.587515, 6.461906, 1920.614380, 1630, 1.000000
January 14 2025 14:31:51, 0.589231, 6.446838, 1914.163208, 1600, 1.000000
January 14 2025 14:31:53, 0.589738, 6.448364, 1913.241577, 1585, 1.000000
January 14 2025 14:31:58, 0.590356, 6.440926, 1914.624023, 1599, 1.000000
January 14 2025 14:32:00, 0.590649, 6.454468, 1912.780762, 1616, 1.000000
January 14 2025 14:32:03, 0.591739, 6.439590, 1913.702393, 1606, 1.000000
January 14 2025 14:32:06, 0.591785, 6.444168, 1909.555176, 1600, 1.000000
January 14 2025 14:32:09, 0.592006, 6.434822, 1903.104004, 1579, 1.000000
January 14 2025 14:32:11, 0.591932, 6.431770, 1905.407959, 1618, 1.000000
January 14 2025 14:32:15, 0.590747, 6.433487, 1909.094360, 1639, 1.000000
January 14 2025 14:32:17, 0.590278, 6.425095, 1902.643188, 1602, 1.000000
January 14 2025 14:32:21, 0.590135, 6.423759, 1911.398315, 1603, 1.000000
January 14 2025 14:32:24, 0.590364, 6.415749, 1911.398315, 1617, 1.000000
January 14 2025 14:32:28, 0.589766, 6.418991, 1903.564819, 1606, 1.000000
January 14 2025 14:32:29, 0.590064, 6.425476, 1902.182373, 1600, 1.000000
January 14 2025 14:32:33, 0.592772, 6.402779, 1903.104004, 1561, 1.000000
January 14 2025 14:32:35, 0.594366, 6.430244, 1900.799927, 1593, 1.000000
January 14 2025 14:32:39, 0.596425, 6.385040, 1897.574341, 1626, 1.000000
January 14 2025 14:32:41, 0.597610, 6.413841, 1896.192017, 1646, 1.000000
January 14 2025 14:32:45, 0.596915, 6.378365, 1900.799927, 1619, 1.000000
January 14 2025 14:32:47, 0.594758, 6.369209, 1900.339111, 1633, 1.000000
January 14 2025 14:32:51, 0.593116, 6.340981, 1897.574341, 1614, 1.000000
January 14 2025 14:32:54, 0.592259, 6.340218, 1900.799927, 1619, 1.000000
January 14 2025 14:32:57, 0.591496, 6.354332, 1894.809570, 1632, 1.000000
January 14 2025 14:33:00, 0.590809, 6.370354, 1890.201538, 1619, 1.000000
January 14 2025 14:33:03, 0.589977, 6.342316, 1882.828735, 1616, 1.000000
January 14 2025 14:33:05, 0.590374, 6.336975, 1882.367920, 1571, 1.000000
January 14 2025 14:33:09, 0.590565, 6.318665, 1883.750366, 1625, 1.000000
January 14 2025 14:33:11, 0.590588, 6.348228, 1886.515137, 1616, 1.000000
January 14 2025 14:33:15, 0.591211, 6.348610, 1882.828735, 1602, 1.000000
January 14 2025 14:33:17, 0.590290, 6.318474, 1882.828735, 1577, 1.000000
January 14 2025 14:33:21, 0.590044, 6.318665, 1880.985596, 1535, 1.000000
January 14 2025 14:33:22, 0.589724, 6.331444, 1881.446411, 1607, 1.000000
January 14 2025 14:33:26, 0.591186, 6.329727, 1880.524780, 1594, 1.000000
January 14 2025 14:33:28, 0.592556, 6.330109, 1879.603149, 1601, 1.000000
January 14 2025 14:33:32, 0.593192, 6.323814, 1877.299194, 1603, 1.000000
January 14 2025 14:33:34, 0.594226, 6.310081, 1877.760010, 1613, 1.000000
January 14 2025 14:33:37, 0.593701, 6.278610, 1884.211182, 1605, 1.000000
January 14 2025 14:33:39, 0.593763, 6.296349, 1886.975952, 1621, 1.000000
January 14 2025 14:33:43, 0.593794, 6.287956, 1884.671997, 1582, 1.000000
January 14 2025 14:33:45, 0.594625, 6.318283, 1884.671997, 1610, 1.000000
January 14 2025 14:33:49, 0.594997, 6.280899, 1886.054321, 1601, 1.000000
January 14 2025 14:33:51, 0.595662, 6.289864, 1887.897583, 1581, 1.000000
January 14 2025 14:33:55, 0.596289, 6.296730, 1887.897583, 1619, 1.000000
January 14 2025 14:33:57, 0.597341, 6.288719, 1883.750366, 1574, 1.000000
January 14 2025 14:34:01, 0.599808, 6.287003, 1877.760010, 1595, 1.000000
January 14 2025 14:34:03, 0.599782, 6.275749, 1876.838379, 1616, 1.000000
January 14 2025 14:34:07, 0.601810, 6.273842, 1897.113525, 1607, 1.000000
January 14 2025 14:34:09, 0.603582, 6.281853, 1856.102417, 1601, 1.000000
January 14 2025 14:34:13, 0.602242, 6.282616, 1822.003174, 1607, 1.000000
January 14 2025 14:34:15, 0.601699, 6.299019, 1834.444824, 1607, 1.000000
January 14 2025 14:34:18, 0.601418, 6.268120, 1797.119995, 1575, 1.000000
January 14 2025 14:34:21, 0.601237, 6.268120, 1793.894409, 1535, 1.000000
January 14 2025 14:34:25, 0.600604, 6.236458, 1809.100708, 1599, 1.000000
January 14 2025 14:34:27, 0.600285, 6.241989, 1797.580811, 1605, 1.000000
January 14 2025 14:34:31, 0.598700, 6.250000, 1791.590332, 1602, 1.000000
January 14 2025 14:34:33, 0.598364, 6.233978, 1810.022339, 1619, 1.000000
January 14 2025 14:34:37, 0.598198, 6.229973, 1825.228760, 1586, 1.000000
January 14 2025 14:34:39, 0.597986, 6.212997, 1825.228760, 1616, 1.000000
January 14 2025 14:34:43, 0.597541, 6.202507, 1827.072021, 1615, 1.000000
January 14 2025 14:34:45, 0.597380, 6.218147, 1823.846313, 1584, 1.000000
January 14 2025 14:34:49, 0.595951, 6.208038, 1823.846313, 1602, 1.000000
January 14 2025 14:34:51, 0.595318, 6.215477, 1822.003174, 1583, 1.000000
January 14 2025 14:34:54, 0.594376, 6.203651, 1842.739136, 1591, 1.000000
January 14 2025 14:34:56, 0.593685, 6.201172, 1844.121582, 1617, 1.000000
January 14 2025 14:35:00, 0.594058, 6.209183, 1849.651123, 1611, 1.000000
January 14 2025 14:35:02, 0.594517, 6.211281, 1848.729614, 1569, 1.000000
January 14 2025 14:35:06, 0.593478, 6.221390, 1845.504028, 1602, 1.000000
January 14 2025 14:35:08, 0.593702, 6.204605, 1851.955200, 1597, 1.000000
January 14 2025 14:35:12, 0.594047, 6.199646, 1798.041626, 1618, 1.000000
January 14 2025 14:35:14, 0.593856, 6.183434, 1777.305542, 1622, 1.000000
January 14 2025 14:35:19, 0.593762, 6.174278, 1785.599976, 1619, 1.000000
January 14 2025 14:35:21, 0.593707, 6.194305, 1768.089600, 1589, 1.000000
January 14 2025 14:35:26, 0.593778, 6.177139, 1850.111938, 1644, 1.000000
January 14 2025 14:35:28, 0.593098, 6.194878, 1850.572754, 1616, 1.000000
January 14 2025 14:35:48, 0.588723, 6.159973, 1850.111938, 1590, 1.000000
January 14 2025 14:35:50, 0.588553, 6.175232, 1854.259155, 1615, 1.000000
January 14 2025 14:35:54, 0.587216, 6.171989, 1855.180786, 1643, 1.000000
January 14 2025 14:35:56, 0.586871, 6.172943, 1851.033569, 1595, 1.000000
January 14 2025 14:35:59, 0.588109, 6.176376, 1856.102417, 1615, 1.000000
January 14 2025 14:36:01, 0.588375, 6.153870, 1851.955200, 1606, 1.000000
January 14 2025 14:36:05, 0.588877, 6.168938, 1854.259155, 1598, 1.000000
January 14 2025 14:36:07, 0.588512, 6.149292, 1854.719971, 1603, 1.000000
January 14 2025 14:36:10, 0.588484, 6.154442, 1859.328003, 1584, 1.000000
January 14 2025 14:36:13, 0.589757, 6.156540, 1849.651123, 1587, 1.000000
January 14 2025 14:36:17, 0.590546, 6.176186, 1910.015991, 1623, 1.000000
January 14 2025 14:36:19, 0.591260, 6.140518, 1896.192017, 1616, 1.000000
January 14 2025 14:36:23, 0.594522, 6.162071, 1896.192017, 1602, 1.000000
January 14 2025 14:36:25, 0.596971, 6.163979, 1892.966309, 1616, 1.000000
January 14 2025 14:36:30, 0.600984, 6.165314, 1886.515137, 1594, 1.000000
January 14 2025 14:36:32, 0.601656, 6.164169, 1885.132812, 1616, 1.000000
January 14 2025 14:36:36, 0.602796, 6.166077, 1898.956787, 1616, 1.000000
January 14 2025 14:36:38, 0.603221, 6.173134, 1893.427124, 1632, 1.000000
January 14 2025 14:36:41, 0.602751, 6.166649, 1894.348755, 1601, 1.000000
January 14 2025 14:36:43, 0.602602, 6.155205, 1895.731201, 1661, 1.000000
January 14 2025 14:36:47, 0.601756, 6.156921, 1893.427124, 1620, 1.000000
January 14 2025 14:36:49, 0.601965, 6.174660, 1893.427124, 1618, 1.000000
January 14 2025 14:36:53, 0.601771, 6.152344, 1895.731201, 1624, 1.000000
January 14 2025 14:36:55, 0.600367, 6.147957, 1884.671997, 1620, 1.000000
January 14 2025 14:36:59, 0.598458, 6.167793, 1877.760010, 1637, 1.000000
January 14 2025 14:37:01, 0.597917, 6.148720, 1874.995117, 1627, 1.000000
January 14 2025 14:37:06, 0.597433, 6.153870, 1892.505615, 1623, 1.000000
January 14 2025 14:37:08, 0.596723, 6.133842, 1893.887939, 1590, 1.000000
January 14 2025 14:37:12, 0.595325, 6.120491, 1887.897583, 1609, 1.000000
January 14 2025 14:37:14, 0.595605, 6.147194, 1931.673584, 1622, 1.000000
January 14 2025 14:37:18, 0.594604, 6.161308, 1894.809570, 1650, 1.000000
January 14 2025 14:37:20, 0.594503, 6.149864, 1897.574341, 1648, 1.000000
January 14 2025 14:37:24, 0.595757, 6.147575, 1884.211182, 1639, 1.000000
January 14 2025 14:37:27, 0.596270, 6.141663, 1883.750366, 1650, 1.000000
January 14 2025 14:37:31, 0.597003, 6.137085, 1896.652710, 1648, 1.000000
January 14 2025 14:37:33, 0.597042, 6.140137, 1895.270386, 1609, 1.000000
January 14 2025 14:37:37, 0.597142, 6.133270, 1870.387207, 1591, 1.000000
January 14 2025 14:37:54, 0.589264, 6.110382, 1859.788818, 1669, 1.000000
January 14 2025 14:37:58, 0.588433, 6.117821, 1873.151978, 1641, 1.000000
January 14 2025 14:38:01, 0.588434, 6.114388, 1870.848022, 1636, 1.000000
January 14 2025 14:38:05, 0.588473, 6.110191, 1875.455933, 1631, 1.000000
January 14 2025 14:38:08, 0.589471, 6.139183, 1874.995117, 1644, 1.000000
